prefecture_norm,year,population,n_events,H_sum,E_sum,human_burden,econ_burden,H_pref_norm,E_pref_norm,logE_pref_norm,N_norm,risk_pref_raw,risk_year_norm,risk_cum_raw,risk_cum_norm,risk_final,half_life_years,decay_alpha,blend_prev_weight
Chiba,1982,4817971.8,1,3950.0,445341000.0,0.0008198470568051063,92.4332931961121,0.0003852167312260026,0.000339299743231444,0.3625413604135342,0.0,0.10903205983591846,0.11683269645250531,0.04242749161335636,0.1416543283889239,0.1292435124207146,3,0.2062994740159002,0.5
Chiba,1983,4900519.6,1,1097.0,1310187000.0,0.00022385381337929964,267.35675131265674,0.0001051808792221456,0.0009814004665950064,0.446844964701293,0.0,0.1341271160258434,0.14372316414346056,0.06134507589710804,0.20504274429113298,0.17438295421729677,3,0.2062994740159002,0.5
Chiba,1987,5229616.2,2,87762.0,168439449107.53424,0.016781728647696937,32208.759240789837,0.00788513247724489,0.11823038390525567,0.8293989034961037,0.2,0.2543392637829025,0.2725358215392759,0.10115967534607326,0.3384521876426581,0.305494004590967,3,0.2062994740159002,0.5
Chiba,1990,5473975.8,2,148178.0,9634546000.0,0.027069538743667812,1760.0636816845263,0.012719005507279882,0.006460758181573352,0.5971716401504835,0.2,0.18805479590024096,0.20150906915740757,0.1190860930109463,0.3985194352115601,0.30001425218448385,3,0.2062994740159002,0.5
Chiba,1991,5555429.0,1,180.0,6199620.601360743,3.240073808881366e-05,1.1159571297483495,1.5223944895919398e-05,4.096402437783539e-06,0.059888151361590335,0.0,0.017977102169904245,0.019263263704940026,0.09822736138216086,0.32862668697025027,0.17394497533759515,3,0.2062994740159002,0.5
Chiba,1992,5609143.2,1,348.0,119859331.6263077,6.204156099990458e-05,21.368563317532647,2.9151104623924093e-05,7.84387074847685e-05,0.24831221433101344,0.0,0.07451407007254078,0.07984513677286278,0.09333532185780043,0.312234602688826,0.19603986973084442,3,0.2062994740159002,0.5
Chiba,1994,5716571.6,1,305.0,360618000.0,5.335365693661565e-05,63.08291494153594,2.5068970063964514e-05,0.00023156176851280307,0.3324122027937372,0.0,0.09974120911716593,0.10687713711112372,0.09465685303001269,0.3166627456438372,0.21176994137748045,3,0.2062994740159002,0.5
Chiba,1998,5887000.0,1,378.0,5773120000.0,6.420927467300832e-05,980.6556820112112,3.0169635541923642e-05,0.0035997443085675537,0.5504735048360616,0.0,0.16516317019569782,0.17697967513084256,0.10920226917609177,0.36540104511742716,0.2711903601241349,3,0.2062994740159002,0.5
Chiba,1999,5920000.0,1,27598.0,9415846000.0,0.0046618243243243245,1590.514527027027,0.002190424071002044,0.0058383851961346205,0.5890828710953312,0.0,0.1782581581783008,0.19101153656979022,0.12344846275494788,0.41313671950665326,0.30207412803822176,3,0.2062994740159002,0.5
Chiba,2000,5944000.0,1,12100.0,637579000.0,0.0020356662180349935,107.2643001345895,0.0009564865542538047,0.00039374069921266835,0.3743133410270304,0.0,0.11296354289608677,0.12104545522885098,0.12128542930296596,0.40588889853712357,0.26346717688298726,3,0.2062994740159002,0.5
Chiba,2001,5968000.0,1,350.0,50509498.99125756,5.8646112600536196e-05,8.463387900679887,2.7555705186194347e-05,3.106700240005709e-05,0.17957725448381615,0.0,0.05389246533877518,0.05774817107443163,0.10738229628478088,0.3593027401311902,0.2085254556028109,3,0.2062994740159002,0.5
Chiba,2003,6024000.0,1,2380.0,93787000.0,0.0003950863213811421,15.568891102257636,0.00018563689411490926,5.714954612930009e-05,0.22433084607075532,0.0,0.06742919964710703,0.0722533833283649,0.09913999346312233,0.33168470437067343,0.20196904384951916,3,0.2062994740159002,0.5
Chiba,2007,6098000.0,1,3620.0,0.0,0.0005936372581174155,0.0,0.0002789288589960982,0.0,0.0,0.0,0.00019525020129726873,0.00020921926573508174,0.07872774497156954,0.26328801706249955,0.13174861816411731,3,0.2062994740159002,0.5
Chiba,2010,6216000.0,1,16700.0,0.0,0.0026866151866151867,0.0,0.0012623441307249362,0.0,0.0,0.0,0.0008836408915074553,0.0009468604757708332,0.06266854724461374,0.2094773883213649,0.10521212439856786,3,0.2062994740159002,0.5
Chiba,2011,6214000.0,2,589640.0,292855483000.0,0.09488896041197296,47128.3364982298,0.0445849196577931,0.17299645960733825,0.8598122154569872,0.2,0.28915310839755126,0.3098404028370056,0.10939219308318673,0.3660374358654281,0.33793891935121684,3,0.2062994740159002,0.5
Chiba,2012,6195000.0,1,9106.0,215872000.0,0.0014698950766747377,34.846166263115414,0.0006906509842072173,0.00012791165235874743,0.2859930488584379,0.0,0.08628137034647641,0.09245432184227391,0.10462444250852868,0.35006181488701393,0.22125806836464393,3,0.2062994740159002,0.5
Chiba,2013,6192000.0,1,19679.0,269310000.0,0.0031781330749354004,43.49321705426357,0.0014932907599848743,0.00015965283577543034,0.3032601762344198,0.0,0.09202335640231535,0.09860711501985772,0.1020248450727878,0.34135116975582813,0.21997914238784294,3,0.2062994740159002,0.5
Chiba,2014,6197000.0,2,20440.0,7817836000.0,0.0032983701791189286,1261.5517185735032,0.0015497858633839825,0.0046308441405091124,0.5705811472206647,0.2,0.17225919427056818,0.1845833802062729,0.11651415437013897,0.38990146825589095,0.2872424242310819,3,0.2062994740159002,0.5
Chiba,2015,6223000.0,2,4115.0,273962000.0,0.0006612566286357062,44.024104129840914,0.0003107007762853104,0.00016160159084192043,0.3042079293692853,0.2,0.09147986935418531,0.09802474450043801,0.1113495945389836,0.3725962319414266,0.2353104882209323,3,0.2062994740159002,0.5
Chiba,2016,6236000.0,1,3723.0,130700000.0,0.0005970173187940988,20.958948043617703,0.0002805170282947617,7.693511118891713e-05,0.24683545332147835,0.0,0.07424699791624984,0.0795589570912736,0.10369534837108951,0.34694863697206835,0.21325379703167097,3,0.2062994740159002,0.5
Ehime,1965,1457244.6,1,1330.0,4037235.784136182,0.0009126813714046358,2.770458565525775,0.00042883624649876203,1.0169667739976063e-05,0.10604747617255476,0.0,0.03211442822431556,0.03441203669933054,0.00662518965099768,0.021689158787660305,0.02805059774349542,3,0.2062994740159002,0.5
Ehime,1968,1435080.0,1,220.0,121670.11952191236,0.00015330155810129053,0.08478281316854278,7.203090456134995e-05,3.112167244489784e-07,0.006502519411277219,0.0,0.0020011774565761105,0.0021443505578414433,0.0056712583674454016,0.0184927573847668,0.010318553971304122,3,0.2062994740159002,0.5
Ehime,1984,1520644.6,1,9.0,29449578.08219178,5.918542702219835e-06,19.366509493534373,2.7809109692426692e-06,7.108966338031463e-05,0.24082010015902114,0.0,0.07224797668538481,0.07741691702508355,0.01940600033814105,0.06451467663667475,0.07096579683087914,3,0.2062994740159002,0.5
Ehime,1987,1526991.4,1,65090.0,94318133250.0,0.04262630424768601,61767.29826376233,0.02002857173205919,0.22673246528747595,0.8814256438658267,0.0,0.27844769337218944,0.29836907499143045,0.0728461653592535,0.2435802145738033,0.2709746447826169,3,0.2062994740159002,0.5
Ehime,2001,1491000.0,3,18559.0,2308255771.464275,0.012447350771294434,1548.1259365957578,0.0058485637494718155,0.0056827871713108396,0.5869258609442758,0.4,0.180171752907913,0.19306203834435404,0.0949873776189894,0.3177702565076824,0.25541614742601826,3,0.2062994740159002,0.5
Ehime,2003,1483000.0,1,2380.0,93787000.0,0.001604855023600809,63.241402562373565,0.0007540638234310273,0.0002321435373451812,0.3326095730324662,0.0,0.10031071658614157,0.10748738966757727,0.09608557964792123,0.3214500755538368,0.21446873261070704,3,0.2062994740159002,0.5
Ehime,2004,1477000.0,5,285639.0,9327865937.45797,0.19339133378469872,6315.413634027062,0.09086765248422181,0.023182320464114687,0.6992269016054279,0.8,0.2733754272205836,0.2929339164471574,0.1326603819505206,0.44400371375221576,0.36846881509968654,3,0.2062994740159002,0.5
Ehime,2007,1452000.0,2,13640.0,376360251.0344062,0.009393939393939394,259.20127481708414,0.004413875242499951,0.0009514637307588516,0.44437900372507433,0.2,0.13640341378727228,0.14616231833165766,0.13343256744966725,0.4465911273902035,0.2963767228609306,3,0.2062994740159002,0.5
Ehime,2010,1431000.0,1,16700.0,0.0,0.0116701607267645,0.0,0.005483390018578759,0.0,0.0,0.0,0.003838373013005131,0.004112987223893431,0.10669735330186955,0.35700765583190286,0.18056032152789814,3,0.2062994740159002,0.5
